session,group,ppt,selection,selected,continuation,continue,L1_bsl,self_rating,bsl_years,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp
3,first,S90,selected,1,withdrew,0,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,64,62
3,first,S60,selected,1,withdrew,0,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,58,52
3,first,S96,selected,1,continuing,1,1,5,14,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,70,60
3,first,S65,selected,1,continuing,0,0,2,3,0.75,0.71,0.73,6,48,8,5,42,33,0.79,42,36,0.86,7,0.83,4.25,0.86,1991,0.75,2713,73,19,26,28,na,na,na,na,19,tbc,na,na,72,72
3,first,S71,selected,1,withdrew,0,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55,50
3,first,S33,selected,1,continuing,1,1,6,18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,60,64
3,first,S25,selected,1,withdrew,0,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,58,53
3,first,S19,selected,1,withdrew,0,0,3,0,0.73,0.75,0.74,8,80,10,6,42,36,0.86,46,45,0.98,10,0.88,5.92,0.91,1793,0.84,2201,73,21,29,23,na,na,na,na,13,tbc,na,na,60,51
3,second,S77,selected,1,continuing,1,0,3,3,0.71,0.76,0.74,6,48,8,5,42,36,0.86,44,41,0.93,8,0.71,4.93,0.86,1610,0.96,2009,89,30,33,26,na,na,na,na,21,tbc,na,na,75,72
3,second,S98,selected,1,continuing,1,0,2,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,62,46
3,second,S31,selected,1,continuing,1,0,1,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,64,67
3,second,S52,selected,1,continuing,1,0,4,6,0.76,0.76,0.76,6,54,9,5.5,41,32,0.78,44,38,0.86,8,0.64,4.86,0.72,2098,0.88,2009,48,10,17,21,na,na,na,na,24,tbc,na,na,71,68
3,second,S39,selected,1,continuing,1,0,2,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.83,2306,65,13,26,26,na,na,na,na,tbc,tbc,na,na,67,68
3,second,S84,selected,1,continuing,1,0,1,0,0.71,0.71,0.71,6,60,10,6,42,38,0.9,45,42,0.93,8,0.71,4.8,0.9,2716,0.74,3030,62,17,22,23,na,na,na,na,tbc,tbc,na,na,68,58
3,second,S17,selected,1,continuing,1,0,4,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,51,44
3,second,S03,selected,1,continuing,1,0,1,0,0.76,0.79,0.77,5,35,7,4.5,42,31,0.74,46,41,0.89,6,0.7,3.65,0.89,2317,0.88,2810,66,24,21,21,na,na,na,na,tbc,tbc,na,na,56,54
3,second,S13,selected,1,continuing,1,0,2,1,0.79,0.73,0.76,8,80,10,6,23,14,0.61,43,37,0.86,5,0.63,2.2,0.54,1086,0.48,1379,83,23,30,30,na,na,na,na,tbc,tbc,na,na,58,50
3,second,S07,selected,1,continuing,1,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,71,66
3,second,S89,selected,1,continuing,1,0,1,0,0.7,0.74,0.72,6,48,8,5,39,32,0.86,41,40,0.98,8,0.79,6.22,0.84,4419,0.59,3189,69,16,20,33,na,na,na,na,tbc,tbc,na,na,54,51
3,second,S16,selected,1,continuing,1,0,1,0,0.76,0.79,0.78,6,48,8,5,37,36,0.97,41,40,0.98,8,0.64,4.56,0.88,3263,0.71,2252,68,21,17,30,na,na,na,na,tbc,tbc,na,na,68,70
3,second,S97,selected,1,continuing,1,0,2,1,0.75,0.68,0.71,8,88,11,6.5,42,37,0.88,46,45,0.98,8,0.79,4.66,0.93,2017,0.93,2345,47,14,19,14,na,na,na,na,tbc,tbc,na,na,na,na
3,second,S85,selected,1,withdrew,0,0,4,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
3,second,S68,selected,1,continuing,1,0,3,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,tbc,tbc,na,na,na,na
3,second,S10,selected,1,withdrew,0,1,4,18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
3,second,S73,selected,1,continuing,1,0,4,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,85,72
3,second,S49,selected,1,continuing,1,0,3,8,0.78,0.76,0.77,6,48,8,5,34,31,0.91,35,34,0.97,9,0.81,5.95,0.71,2794,0.55,2823,60,16,21,23,na,na,na,na,tbc,tbc,na,na,50,51
3,second,S42,selected,1,continuing,1,0,3,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55,63
