session,group,ppt,status,continue,L1_bsl,prior_BSL,age_s1,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp,comments
1,grant,HW1051,continuing,1,check,check,43,0.73,0.73,0.73,6,48,8,5,36,32,0.89,37,36,0.97,7,0.75,4.35,NA,NA,0.9,2442,NA,NA,NA,NA,41,0.91,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,HW1061,continuing,1,check,check,32,0.71,0.71,0.71,6,54,9,5.5,42,39,0.93,45,40,0.89,NA,NA,NA,NA,NA,0.7,2891,NA,NA,NA,NA,43,0.96,tbc,NA,NA,NA,NA,NA,NA,NA,copy sign - use interview version (SW)
1,grant,HW1071,continuing,1,check,check,54,0.62,0.52,0.57,5,40,8,5,30,19,0.63,20,16,0.8,6,0.5,3.38,NA,NA,0.4,4121,NA,NA,NA,NA,31,0.69,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,HW1081,continuing,1,check,check,18,0.73,0.75,0.74,5,30,6,4,41,30,0.73,45,39,0.87,5,0.63,2.77,NA,NA,0.75,3527,NA,NA,NA,NA,43,0.96,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,HW1091,continuing,1,check,check,18,0.75,0.76,0.75,8,80,10,6,36,20,0.56,46,41,0.89,NA,NA,NA,NA,NA,0.6,3170,NA,NA,NA,NA,28,0.62,tbc,NA,NA,NA,NA,NA,NA,NA,copy sign - use interview version (SW)
1,grant,HW1101,continuing,1,check,check,19,0.75,0.7,0.72,5,40,8,5,39,33,0.85,44,39,0.89,9,0.75,6.79,NA,NA,0.15,3258,NA,NA,NA,NA,45,1,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,HW1111,continuing,1,check,check,18,0.71,0.71,0.71,5,35,7,4.5,36,30,0.83,41,41,1,7,0.67,4.83,NA,NA,0.51,3862,NA,NA,NA,NA,39,0.87,NA,NA,NA,NA,NA,NA,NA,NA,copy sign done tbc (SW?)
1,grant,HW1121,continuing,1,check,check,20,0.78,0.73,0.75,5,40,8,5,42,34,0.81,43,38,0.88,NA,NA,NA,NA,NA,0.68,3398,NA,NA,NA,NA,44,0.98,tbc,NA,NA,NA,NA,NA,NA,NA,copy sign - use interview version (SW)
1,grant,WV2011,continuing,1,check,check,21,0.75,0.73,0.74,5,40,8,5,42,39,0.93,46,42,0.91,7,0.67,4.19,NA,NA,0.88,2656,NA,NA,NA,NA,41,0.91,tbc,tbc,NA,NA,NA,NA,NA,NA,"nback crashed, continued on PEBLPortable"
1,grant,WV2021,withdrew,0,check,check,32,0.67,0.68,0.67,5,35,7,4.5,38,36,0.95,33,32,0.97,7,0.75,4.47,NA,NA,0.46,3832,NA,NA,NA,NA,44,0.98,tbc,NA,NA,NA,NA,NA,NA,NA,
1,grant,WV2031,continuing,1,check,check,34,0.71,0.7,0.71,6,54,9,5.5,40,34,0.85,46,42,0.91,9,0.69,5.15,NA,NA,0.81,3353,NA,NA,NA,NA,36,0.8,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,WV2041,withdrew,0,1,,18,0.75,0.67,0.71,6,60,10,6,33,28,0.85,43,39,0.91,6,0.8,3.61,NA,NA,0.84,3025,NA,NA,NA,NA,37,0.82,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,WV2051,continuing,1,check,check,22,0.68,0.75,0.71,6,48,8,5,31,26,0.84,44,42,0.95,6,0.8,3.31,NA,NA,0.51,3338,NA,NA,NA,NA,43,0.96,tbc,NA,NA,NA,NA,NA,NA,NA,
1,grant,WV2061,continuing,1,check,check,40,0.71,0.79,0.75,6,54,9,5.5,42,35,0.83,39,36,0.92,10,0.81,6.28,NA,NA,0.65,3016,NA,NA,NA,NA,40,0.89,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,WV2071,continuing,1,check,check,23,0.75,0.75,0.75,5,40,8,5,42,32,0.76,38,31,0.82,6,0.6,3.43,NA,NA,0.5,2002,NA,NA,NA,NA,13,0.29,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,WV2081,continuing,1,check,check,19,0.76,0.75,0.75,6,60,10,6,42,31,0.74,46,43,0.93,8,0.71,4.52,NA,NA,0.45,3025,NA,NA,NA,NA,25,0.56,tbc,tbc,NA,NA,NA,NA,NA,NA,
1,grant,WV2091,withdrew,0,check,check,34,0.76,0.68,0.72,6,54,9,5.5,37,32,0.86,40,37,0.93,5,0.75,2.36,NA,NA,0.89,3279,NA,NA,NA,NA,34,0.76,tbc,tbc,NA,NA,NA,NA,NA,NA,
